Year class,sht yc,VPA SSB,Egg prod (millions),SCAI index,0-ring MIK,1-ring IBTS,2 ring Acoust
1973,73,301.95,168.221,3.343,,,
1974,74,202.81,113.635,3.266,,,
1975,75,117.83,73.402,2.197,,,
1976,76,164.72,80.418,1.366,17.1,,
1977,77,125.12,50.363,1.214,13.1,168,
1978,78,155.44,57.285,1.622,52.1,316,
1979,79,190.61,69.543,2.127,101.1,495,
1980,80,211.72,76.700,3.230,76.7,798,
1981,81,309.90,111.170,3.513,133.9,1270,3194
1982,82,431.06,153.834,3.958,91.8,1516,2789
1983,83,645.64,232.145,5.027,115,2097,3206
1984,84,1028.90,377.466,7.758,181.3,2663,4303
1985,85,1092.52,377.521,12.131,177.4,3693,4202
1986,86,1123.55,350.812,15.178,270.9,4394,4090
1987,87,1304.07,362.190,14.557,168.9,2332,3306
1988,88,1667.77,441.567,18.434,71.4,1062,2634
1989,89,1730.64,521.494,26.188,25.9,1287,3734
1990,90,1770.90,502.926,22.081,69.9,1268,2984
1991,91,1530.34,410.804,20.510,200.7,2794,3185
1992,92,1168.23,388.831,13.979,190.1,1752,3849
1993,93,827.36,302.304,7.424,101.7,1346,4497
1994,94,892.70,278.148,4.993,127,1891,5960
1995,95,942.23,295.866,4.374,106.5,4405,5747
1996,96,1081.65,251.964,5.532,148.1,2276,3078
1997,97,1240.47,352.559,7.002,53.1,753,2923
1998,98,1498.54,414.717,9.917,244,3725,12290
1999,99,1573.79,418.922,13.273,137.1,2499,4875
2000,00,1564.38,460.650,14.353,214.8,4065,18949
2001,01,2124.40,575.235,16.445,161.8,2765,3416
2002,02,2446.09,681.786,21.730,54.4,979,2055
2003,03,2503.00,652.001,26.142,47.3,1002,3772
2004,04,2470.67,667.636,33.491,61.3,922,2750
2005,05,2345.48,702.953,36.816,83.1,1321,2853
2006,06,1833.98,580.488,32.000,37.2,1792,5632
2007,07,1476.23,437.120,29.574,27.8,2340,4237
2008,08,1538.01,399.2290889,30.777,95.8,1323,4166
2009,09,1886.06,532.8698034,37.725,77.1,2937,4719
2010,10,1941.56,532.5461626,47.522,77,1353,2683
2011,11,2345.48,618.3875339,48.367,68,1665,
2012,12,2475.62,680.5283544,51.991,50.4,2961,
2013,,2115.92,603.2288436,63.174,164.5,,
2014,,,,71.944,,,
